DATE; Talajhőmérséklet 0 cm; Szélirány; Talajnedvesség 30 cm; Széllökés; Levegő-hőmérséklet; Szélsebesség; Csapadék; Talajnedvesség 90 cm; Besugárzás; Levegő-páratartalom; Talajnedvesség 60 cm
2021-01-04 18:00:00; 5,80836; 299,29617;  11,97586;   0,74671;   5,97976;   0,41186;   0,00000;  17,84553;   0,00000;  99,99799;  12,48307
2021-01-04 16:00:00; 5,76182; 320,56555;  11,99570;   1,63633;   5,66817;   1,22157;   0,00000;  17,85002;   0,00000;  99,99799;  12,50006
2021-01-04 17:00:00; 5,77822; 315,83700;  11,98531;   1,28434;   5,83146;   0,92732;   0,00000;  17,84475;   0,00000;  99,99799;  12,49997
2021-01-04 14:00:00; 5,68816; 317,66290;  12,01510;   1,84077;   6,23238;   1,41378;   0,00000;  17,85566;   8,80203;  99,99799;  12,51778
2021-01-04 15:00:00; 5,73907; 319,17438;  12,00900;   1,82062;   5,72275;   1,40978;   0,00000;  17,85438;   0,03112;  99,99799;  12,50861
2021-01-04 13:00:00; 5,62762; 321,83307;  12,02579;   2,35853;   5,81430;   1,79338;   0,00000;  17,85878;  41,57288;  99,99799;  12,51070
2021-01-04 12:00:00; 5,54007; 317,20300;  12,03411;   1,88977;   5,97987;   1,42167;   0,00000;  17,86405;  90,25140;  98,72871;  12,52510
2021-01-04 11:00:00; 5,39221; 315,27954;  12,05871;   1,50239;   7,50083;   1,01890;   0,00000;  17,86935; 130,04883;  93,14965;  12,53429
2021-01-04 10:00:00; 5,19744;   7,60253;  12,07658;   1,47463;   8,31675;   0,88812;   0,00000;  17,86992; 162,01347;  91,00046;  12,53854
2021-01-04 08:00:00; 4,82415;  64,84421;  12,07888;   1,44251;   4,94863;   1,09681;   0,00000;  17,86722;  79,36537;  99,99799;  12,56343
