DATE; Légnyomás; Fagy; Napelem töltőfeszültség; Talajnedvesség 90 cm; Levegő-hőmérséklet; Széllökés; Talajnedvesség 30 cm; Talajnedvesség 60 cm; Fényegység; Talajnedvesség 120 cm; Csapadék; Külső akkufeszültség; Besugárzás; Levélnedvesség; Belső akkufeszültség; Szélsebesség; Levegő-páratartalom; Talajhőmérséklet 0 cm; Szélirány
2021-02-26 00:00:00; 1018,28150;-9999,00000;   9,41432;  34,27500;  10,13180;   0,10638;  30,89986;  32,71707;1783,82290;-9999,00000;   0,00000;-9999,00000; 125,41812;   5,01742;   4,24451;   0,00000;  75,97059;   5,82148; 271,00894
2021-03-16 00:00:00; 999,23570;-9999,00000;  10,21535;  34,39396;   6,30213;  13,35587;  30,26730;  32,65605;2000,66660;-9999,00000;   0,00000;-9999,00000; 137,56993;   5,03496;   4,24557;   1,59075;  60,61634;   5,07385;  17,51676
2021-03-15 00:00:00; 996,00507;-9999,00000;   9,29372;  34,39943;   6,64876;  16,93238;  30,17939;  32,58880;1891,07290;-9999,00000;   0,00533;-9999,00000;  94,30314;   5,01742;   4,24306;   6,82562;  71,85354;   5,91767;  48,65287
2021-03-14 00:00:00; 998,47940;-9999,00000;   8,97149;  34,39396;   8,10035;   3,60993;  30,29879;  32,58544;2171,10420;-9999,00000;   0,01134;-9999,00000;  72,99651;   5,01742;   4,24387;   0,21986;  83,41704;   6,53181; 349,37100
2021-04-03 00:00:00; 1004,36150;-9999,00000;  10,36257;  34,39187;   7,72403;   2,11388;  30,83748;  32,91379;2071,98600;-9999,00000;   0,00152;  13,16542; 139,37282;   5,01742;   4,24506;   0,16726;  66,15860;   9,69012;  16,67893
2021-03-12 00:00:00; 1004,73080;-9999,00000;   9,23809;  34,38053;   8,92685;  11,38653;  30,25466;  32,47751;1726,37840;-9999,00000;   0,01214;-9999,00000; 106,21951;   5,00000;   4,24432;   2,13475;  65,62544;   5,05018; 334,18570
2021-03-11 00:00:00; 1010,85640;-9999,00000;  10,26412;  34,38554;   3,04468;   9,93928;  30,26652;  32,54407;1862,37160;-9999,00000;   0,00000;-9999,00000; 142,06294;   5,05263;   4,24630;   1,71071;  54,31769;   2,67447; 297,26447
2021-03-28 00:00:00; 1021,53150;-9999,00000;  11,03805;  34,27148;  10,36985;   6,22140;  30,52467;  32,62382;2102,73560;-9999,00000;   0,00000;-9999,00000; 171,41304;   5,01818;   4,24445;   0,50554;  46,08719;   8,11729; 357,86440
2021-03-27 00:00:00; 1014,27637;-9999,00000;  10,84683;  34,24483;  11,29646;   4,90780;  30,32618;  32,54868;2101,21880;-9999,00000;   0,00000;-9999,00000; 178,32753;   5,00000;   4,24505;   0,31915;  52,75612;   6,71268; 304,95590
2021-04-30 00:00:00; 1002,23627;-9999,00000;  11,38915;  34,39395;  17,38105;   2,45423;  31,31706;  32,97971;2259,56600;-9999,00000;   0,00075;  13,09443; 190,98616;   4,98264;   4,24325;   0,08451;  72,58650;  14,10351; 341,41806
